Movie,Rotten Tomatoes
Toy Story ,100
Finding Nemo   ,99
Snow White and the Seven Dwarves,98
The Incredibles   ,97
Wall-E   ,96
The Nightmare Before Christmas,95
Finding Dory   ,94
Winnie the Pooh,91
Sleeping Beauty,90
The Simpsons Movie,88
Rango,87
Lilo & Stitch,86
Despicable Me,81
The Prince of Egypt,79
Alice in Wonderland,78
Casper the Friendly Ghost,75
The BFG,75
The Adventures of Tintin,74
Flushed Away,73
Rio,72
Cars 3,68
Epic,65
The Lion King,92
Madagascar   ,55
A Christmas Carol,54
All Dogs Go to Heaven,50
The Road to El Dorado,48
Happy Feet 2,46
Shrek the Third   ,41
Space Jam,38
The Little Mermaid II: Return to the Sea,33
Aladdin and the King of Thieves,27
Toy Story 2,100
How to Train Your Dragon,98
Dalmatians,98
Chicken Run,97
Ratatouille   ,96
Moana,95
The Little Mermaid,92
Frozen,90
Big Hero 6,89
Wreck-It Ralph,87
Mulan,86
Puss in Boots,84
Kung Fu Panda 2,81
Phineas and Ferb The Movie,79
Brave   ,78
Over the Hedge,75
Despicable Me 2,74
Sing   ,73
Penguins of Madagascar   ,73
Spongebob Squarepants The Movie,69
Meet the Robinsons,67
Madagascar: Escape 2 Africa   ,64
Pocahontas,57
Hotel Transylvania 2,55
Robin Hood,52
Pete’s Dragon,50
Home,48
Sinbad: Legend of the Seven Seas   ,45
Lilo & Stitch 2: Stitch Has a Glitch,40
Ice Age 4: Continental Drift,38
The Little Mermaid: Ariel’s Beginning,33
Scooby Doo,22
How the Grinch Stole Christmas,100
Up   ,98
Coco   ,97
Antz,96
The Lego Movie,96
Beauty and the Beast,94
A Bug's Life   ,92
The Lady and the Tramp,90
Tangled,89
Kung Fu Panda,87
Jungle Book,86
Sausage Party,82
Mr. Peabody & Sherman   ,80
Madagascar 3: Europe's Most Wanted   ,79
Ice Age,77
Happy Feet,75
Rise of the Guardians,74
Cinderella,73
Monsters vs. Aliens,72
Treasure Planet,69
The Aristocats,67
Despicable Me 3,59
Mulan II,57
Polar Express,55
The Boss Baby   ,52
Atlantis the Lost Empire,49
Open Season,48
Hotel Transylvania,44
Leroy & Stitch,40
Chicken Little,37
The Return of Jafar,33
Tom and Jerry,18
Toy Story 3,99
Inside Out   ,98
Kubo and the Two Strings,97
Monsters Inc. ,96
The Iron Giant,96
Aladdin,94
How to Train Your Dragon 2,91
Lego Batman,90
Bolt,89
Peanuts Movie,87
Kung Fu Panda 3,86
South Park: Bigger Longer & Uncut   ,81
Monsters University   ,79
Horton Hears A Who,79
The Good Dinosaur   ,77
The Secret Life of Pets,75
Cars  ,74
Trolls,73
Megamind,72
Barbie,69
Turbo,67
Shrek Forever After   ,58
Gnomeo and Juliet,56
The Lorax,54
Bee Movie   ,51
Astro Boy,49
Ice Age 3: Dawn of the Dinosaurs,46
Angry Birds Movie,44
Cars 2,39
Shark Tale   ,35
Shrek 2,88
The Pokemon Movie,15